Firm Name,CRD Number,AUM (Millions),City,State,Website
"TWIN SECURITIES, INC.",158318,271.43,NEW YORK,NY,"https://www.twincap.com, https://www.linkedin.com/company/twin-capital-management-llc/about/"
GOODE PARTNERS LLC,161816,270.81,NEW YORK,NY,http://www.goodepartners.com
"AC INVESTMENT MANAGEMENT, LLC",140443,270.6,NEW YORK,NY,"http://www.acimfunds.com, https://www.linkedin.com/company/ac-energy/"
325 CAPITAL LLC,310762,270.54,NEW YORK,NY,"https://325capital.com/, https://www.linkedin.com/company/325-capital/"
"INNOVAHEALTH PARTNERS, LP",297788,269.02,NEW YORK,NY,"http://www.innovahealthpartners.com/, https://www.youtube.com/channel/uconnr0g7-gw2ls2rqztxfvg, https://www.linkedin.com/company/innovahealthpartnerslp, http://www.twitter.com/innovahp"
THE VISUALIZE GROUP LP,327531,262.24,NEW YORK,NY,"https://www.linkedin.com/company/the-visualize-group/about/, https://www.thevisualizegroup.com"
KINTAYL CAPITAL LP,331471,261.97,NEW YORK,NY,"https://www.linkedin.com/company/kintayl-capital/, https://kintayl.com/"
CORINTHIA MANAGEMENT (US) LLC,332982,261.4,NEW YORK,NY,http://www.corinthiagm.com
CONSELLO MANAGEMENT LP,317399,261.07,NEW YORK,NY,"https://consello.com/, https://www.linkedin.com/company/consello-group, https://www.youtube.com/channel/uc4vfhd3zgnnzbwu6scebbkq"
CROSS RAPIDS CAPITAL LP,313143,260.59,NEW YORK,NY,"https://www.linkedin.com/company/cross-rapids-capital, https://crossrapids.com/"
"MW ADVISOR, LLC",332429,260.19,NEW YORK,NY,"http://www.marathonfund.com, https://www.linkedin.com/company/marathon-asset-management/"
"SCALEBUILDER, LLC",313276,258.89,NEW YORK,NY,https://scalebuilder.net/
"J.H. LANE PARTNERS, LP",282383,258.3,NEW YORK,NY,"http://www.jhlanepartners.com, http://www.jhlane.com"
KINEO CAPITAL LLC,315019,258.0,NEW YORK,NY,https://www.kineocapital.com
MAN CAPITAL MANAGEMENT LLC,146110,256.62,NEW YORK,NY,https://www.man.com
VELOCITY CAPITAL MANAGEMENT LLC,321641,256.39,NEW YORK,NY,"https://twitter.com/velocityvcm, http://www.velocitycm.com, https://www.linkedin.com/company/velocity-capital-management/"
"ZEPHYR MANAGEMENT, L.P.",129683,256.3,NEW YORK,NY,"https://www.linkedin.com/company/zephyr-peacock-india/, https://in.pinterest.com/zephyr_management/, https://www.zephyrpeacock.com, https://www.linkedin.com/company/zephyr-wealth-management, http://www.zmlp.com, https://www.tumblr.com/zephyrmanagement/808141237920088064/zephyr-management, https://medium.com/@zmlp, https://www.linkedin.com/company/zephyr-acorn/, https://www.youtube.com/@zephyrpeacockindia9895, https://twitter.com/zephyrpeacock, https://www.linkedin.com/company/zephyr-management-l.p./"
"DONALD SMITH, L.P.",285701,255.95,NEW YORK,NY,N/A
"FUTURE POSITIVE MANAGEMENT, L.L.C.",309644,255.67,NEW YORK,NY,"https://www.futurepositive.com/, https://twitter.com/futurepositive"
"STABILIS CAPITAL MANAGEMENT, LP",161553,255.26,NEW YORK,NY,"https://www.linkedin.com/company/stabilis-capital-management-lp/, http://www.stabiliscap.com"
OPPENHEIMERFUNDS INC,104983,253.93,NEW YORK,NY,N/A
TRILL IMPACT ADVISORY INC.,328179,253.83,NEW YORK,NY,"https://www.trillimpact.com/, https://www.linkedin.com/company/trill-impact/"
10 EAST PARTNERS LLC,322360,253.42,NEW YORK,NY,"https://app.10east.co/, https://www.linkedin.com/company/10east/, https://twitter.com/invest10east, https://www.instagram.com/invest10east/, https://www.facebook.com/invest10east"
"ELCO MANAGEMENT COMPANY, LLC",137036,252.16,NEW YORK,NY,http://www.elcomanagement.com
CANDELO CAPITAL MANAGEMENT LP,307389,251.83,NEW YORK,NY,N/A
LBB HOLDING COMPANY LLC,282285,250.33,NEW YORK,NY,http://www.lbb-industries.com
"COLTRANE ASSET MANAGEMENT, L.P.",165131,249.66,NEW YORK,NY,"http://coltraneam.com/, https://www.linkedin.com/company/coltrane-asset-management-lp"
ARIA GROWTH PARTNERS LP,315978,247.61,NEW YORK,NY,"https://www.linkedin.com/company/aria-growth/, https://www.ariagrowth.com/"
"ANANYM CAPITAL MANAGEMENT, LP",332320,246.94,NEW YORK,NY,"https://ananymcapital.com, https://www.linkedin.com/company/ananym-capital-management"
"REYNOLDS CHANNEL MANAGEMENT, L.P.",296292,241.87,NEW YORK,NY,N/A
FORSYTH STREET ASSET MANAGEMENT LLC,310545,240.98,NEW YORK,NY,"https://www.baltimoreniif.org/, https://www.nashvillecatalyst.org/, https://www.newgenerationfund.com/, https://www.nycacquisitionfund.com/, http://www.forsythstreet.com, https://www.nycdownpaymentfund.com/"
"BRIZO CAPITAL, LP",298102,240.61,NEW YORK,NY,"https://www.linkedin.com/company/brizo-capital, https://www.brizocapital.com"
"AACP INVESTMENTS, LLC",314568,239.58,NEW YORK,NY,N/A
FINDELL CAPITAL MANAGEMENT LLC,307394,237.26,NEW YORK,NY,"https://www.fincap.us/, http://twitter.com/@fin_capital, https://findell.us/"
KIZE CAPITAL LP,305608,237.1,NEW YORK,NY,https://www.kizecapital.com/
HAZELVIEW SECURITIES (US) LLC,174811,236.78,NEW YORK,NY,https://www.hazelview.com
STROBE VENTURES L.P.,334227,235.32,NEW YORK,NY,"https://www.strobe.fund/, https://x.com/strobefund"
DILATION CAPITAL MANAGEMENT LP,307862,228.83,NEW YORK,NY,N/A
"POWER INNOVATION PARTNERS, L.P.",312100,228.75,NEW YORK,NY,"https://www.linkedin.com/company/power-innovation-partners, https://www.powerinnovationpartners.com/"
"WYNNEFIELD CAPITAL, INC.",157604,228.11,NEW YORK,NY,"http://www.wynnefieldcapital.com, https://www.linkedin.com/company/wynnefield-capital-management/about/, https://www.facebook.com/wynnecap/"
BOYAR ASSET MANAGEMENT INC,105255,225.83,NEW YORK,NY,"https://twitter.com/boyarvalue, https://www.linkedin.com/company/boyar-intrinsic-value-researc/, https://www.boyarassetmanagement.com, https://www.facebook.com/boyarvalue/, https://www.boyarvaluegroup.com/, https://boyarresearch.substack.com/, https://www.youtube.com/@theworldaccordingtoboyar1437, https://www.youtube.com/@boyarvaluegroup3082"
NEWPOINT REAL ESTATE INVESTMENT MANAGEMENT LLC,321208,225.8,NEW YORK,NY,N/A
"CORINTHIAN CAPITAL GROUP, LLC",160346,225.31,NEW YORK,NY,"http://www.corinthiancap.com, https://www.facebook.com/pages/category/financial-service/corinthian-capital-group-175726575880833/, https://www.linkedin.com/company/corinthian-capital-group/about/, https://twitter.com/corinthiancap"
"TWO SIGMA REAL ESTATE, LP",324210,225.0,NEW YORK,NY,"https://www.twosigma.com/businesses/real-estate/, https://x.com/twosigma, https://www.linkedin.com/company/two-sigma-investments"
"SPRING MOUNTAIN CAPITAL, LP",119126,219.45,NEW YORK,NY,"https://www.linkedin.com/company/west-harlem-innovation-network/about/, https://westharleminnovationnetwork.com/, https://www.springmountaincapital.com/, https://twitter.com/harlem_network, https://www.facebook.com/westharleminnovationnetwork, https://whin.nyc, https://www.instagram.com/westharleminnovationnetwork/"
"LONG POINT CAPITAL, INC",163061,218.7,NEW YORK,NY,"http://www.lpcfund.com, http://www.longpointcapital.com"
SUPERSTRING CAPITAL MANAGEMENT LP,305743,218.3,NEW YORK,NY,http://superstringcap.com/
"SOUNDCORE CAPITAL PARTNERS, LP",331288,216.3,NEW YORK,NY,"https://www.linkedin.com/company/soundcore-capital-partners/, https://www.soundcorecap.com/"
"SENDER COMPANY & PARTNERS, INC.",282319,216.3,NEW YORK,NY,"https://www.linkedin.com/company/sender-company-&-partners, http://www.sendercompany.com/"
"GUGGENHEIM PRIVATE INVESTMENTS, LLC",331479,216.21,NEW YORK,NY,https://www.guggenheiminvestments.com
"CT INVESTMENT MANAGEMENT CO., LLC",160080,215.67,NEW YORK,NY,"https://www.instagram.com/blackstone, https://open.spotify.com/artist/52eom8vqxm8lk75zzlf2hj, https://blackstone.podbean.com/, https://www.youtube.com/user/blackstonegroup, https://apple.co/31pe1gg, https://x.com/blackstone, https://www.blackstone.com, https://mp.weixin.qq.com/s/ftddop2f9zdz1qfbgoqaaa, https://soundcloud.com/blackstone-300250613, https://www.linkedin.com/company/blackstonegroup, https://www.facebook.com/blackstone, https://spoti.fi/2lj1thg, https://www.pandora.com/artist/blackstone/arvlpz9plblrlmg"
"LONETREE CAPITAL, LLC",321784,215.15,NEW YORK,NY,"https://www.linkedin.com/company/lonetree-capital, https://www.lonetreecap.com"
GATEMORE CAPITAL MANAGEMENT LP,332864,213.73,NEW YORK,NY,"https://uk.linkedin.com/company/gvp-climate, https://www.linkedin.com/company/2086357, https://gatemore.com/, https://gvpclimate.com/, https://twitter.com/gatemore"
PATRICOF CO. LLC,320902,212.63,NEW YORK,NY,"http://www.pco.com, https://www.linkedin.com/company/patricof-co, https://www.instagram.com/patricofco"
EXOME ASSET MANAGEMENT LLC,304585,210.76,NEW YORK,NY,"https://www.linkedin.com/company/exome-asset-management, https://www.exomeasset.com/"
"GS GAMMA ADVISORS, LLC",135424,209.65,NEW YORK,NY,"http://www.guggenheiminvestments.com, http://www.gsgamma.com, http://www.guggenheimpartners.com"
LATTIS MANAGEMENT LP,333629,209.31,NEW YORK,NY,"https://www.lattis.com, https://www.linkedin.com/company/lattislp/"
ROOM40 CAPITAL LLC,322436,209.01,NEW YORK,NY,"https://www.linkedin.com/company/room40cap, https://x.com/room40xyz, https://www.room40.capital/, https://www.room40.xyz/"
"YIELDPOINT, L.P.",311859,206.19,NEW YORK,NY,"https://www.linkedin.com/company/yieldpoint/, https://www.yieldpointlp.com/"
LC VERO MANAGER LLC,338361,205.62,NEW YORK,NY,"https://www.verocapital.com/, https://lcvero.com/"
"MB FAMILY ADVISORS, LLC",166324,204.07,NEW YORK,NY,N/A
"NORTHSANDS CAPITAL, L.P.",331698,203.75,NEW YORK,NY,"https://www.northsands.com/, https://www.linkedin.com/company/northsands/"
"KRENSAVAGE ASSET MANAGEMENT, LLC",168976,203.27,NEW YORK,NY,"https://www.linkedin.com/company/krensavage-asset-management-llc/about/, http://www.krensavage.com"
TWO PARKS CAPITAL LLC,333142,202.25,NEW YORK,NY,N/A
"NIHON GLOBAL GROWTH PARTNERS MANAGEMENT, INC.",311890,201.83,NEW YORK,NY,"http://www.nhggp.com, https://www.x.com/nhggpmi"
"RECIPROCAL VENTURE MANAGEMENT, L.L.C.",288520,201.14,NEW YORK,NY,"https://www.linkedin.com/company/reciprocal-ventures/, https://www.recvc.com/, https://scalingup.substack.com/about, https://twitter.com/recvcx"
CITIGROUP ALTERNATIVE INVESTMENTS LLC,119537,200.23,NEW YORK,NY,N/A
"GENERAL INNOVATION CAPITAL, LLC",331306,200.0,NEW YORK,NY,"https://www.linkedin.com/company/general-innovation-capital/, https://www.generalinnovation.com/"
LOCK 8 PARTNERS LLC,319731,196.44,NEW YORK,NY,"https://www.linkedin.com/company/lock-8-partners/, https://www.lock8partners.com, https://twitter.com/lock8partners?lang=en"
ARTIST CAPITAL MANAGEMENT LLC,296835,195.12,NEW YORK,NY,"https://artistcapital.com/, https://www.linkedin.com/company/artist-capital/"
"MORGENS, WATERFALL, VINTIADIS & COMPANY, INC.",108692,193.63,NEW YORK,NY,"http://morgenswaterfall.com, https://www.linkedin.com/company/morgens-waterfall-vintiadis/"
VARIADIC LLC,332389,191.41,NEW YORK,NY,http://www.variadic.com
ALCOVA CAPITAL MANAGEMENT LP,298021,189.5,NEW YORK,NY,"http://www.alcovacap.com, https://www.linkedin.com/company/alcovacap/"
"INCLINE GLOBAL MANAGEMENT, LLC",162607,187.71,NEW YORK,NY,http://inclineglobal.net/
IRTH CAPITAL MANAGEMENT LP,330696,187.4,NEW YORK,NY,"http://www.irth.capital, https://www.linkedin.com/company/irth-capital-management/"
"MOUNTAINEER PARTNERS MANAGEMENT, LLC",163089,187.37,NEW YORK,NY,http://www.mountaineerpartners.com
"GAGNON ADVISORS, LLC",161697,187.31,NEW YORK,NY,N/A
"DELOS CAPITAL MANAGEMENT, LP",170010,186.68,NEW YORK,NY,"http://www.deloscap.com/, https://www.linkedin.com/company/delos-capital"
LONE PEAK PARTNERS MANAGEMENT LP,156546,186.26,NEW YORK,NY,N/A
KELLY PARK INVESTMENT LLC,299882,186.2,NEW YORK,NY,"http://kellyparkcapital.com, https://www.linkedin.com/company/kellyparkcapital/, http://www.knowyouralts.com"
OWLHOUSE CAPITAL LP,328210,184.92,NEW YORK,NY,N/A
"SEVEN SIX CAPITAL MANAGEMENT, LLC",299257,182.8,NEW YORK,NY,http://www.sevensixcapital.com
"OPPVEST, LLC",296317,182.66,NEW YORK,NY,http://www.oppvest.com
"TACTICAL INFRASTRUCTURE PARTNERS, LP",318315,182.35,NEW YORK,NY,"https://tacticalinfra.com/, https://www.linkedin.com/company/tactical-infrastructure-partners"
"EMMETT INVESTMENT MANAGEMENT, LP",299543,181.64,NEW YORK,NY,https://www.emmettpartners.com/
"SUNSTONE ASSET MANAGEMENT, LP",328895,181.23,NEW YORK,NY,https://www.sunstoneam.com/
"RAFFLES CAPITAL MANAGEMENT, LLC",161565,179.6,NEW YORK,NY,http://www.raffleslp.com
"SOVIERO ASSET MANAGEMENT, LP",298418,179.07,NEW YORK,NY,"https://sovieroassetmanagement.com/, https://www.linkedin.com/company/soviero-asset-management/"
"SABA LT, LP",334114,178.37,NEW YORK,NY,N/A
"LANSING MANAGEMENT, LP",285921,178.12,NEW YORK,NY,https://lansingmanagement.com/
"CICC ALPHA INVESTMENT MANAGEMENT (USA), LLC",289848,177.62,NEW YORK,NY,N/A
POST CAPITAL MANAGEMENT LLC,161892,176.56,NEW YORK,NY,"https://x.com/postcapital, http://www.postcp.com/, https://www.linkedin.com/groups/8620342/, https://www.linkedin.com/company/post-capital-partners-llc/"
PENBROOK MANAGEMENT LLC,127269,175.39,NEW YORK,NY,https://www.penbrookllc.com/
"FEENIX VENTURE PARTNERS, LLC",304152,174.76,NEW YORK,NY,"https://www.feenixpartners.com, https://www.linkedin.com/company/feenix-venture-partners-llc/"
"OBERON ASSET MANAGEMENT, LLC",123494,174.7,NEW YORK,NY,https://www.oberonasset.com
SECFI ADVISORY LIMITED,306961,174.02,NEW YORK,NY,"https://linkedin.com/company/secfiinc, http://www.secfi.com, https://twitter.com/asksecfi"
MOELIS CAPITAL PARTNERS LLC,154219,173.31,NEW YORK,NY,http://www.moelisassetmanagement.com
HUDSON EXECUTIVE CAPITAL LP,175032,172.54,NEW YORK,NY,https://www.linkedin.com/company/hudson-executive-capital/about/
"TRIANGLE INVESTMENT MANAGEMENT, LLC",329567,171.78,NEW YORK,NY,N/A
"RHO ACCELERATION, LLC",313160,171.52,NEW YORK,NY,http://www.rhoacceleration.com
MUTIMA CAPITAL MANAGEMENT LLC,284629,170.62,NEW YORK,NY,http://www.mutimacapital.com
AP CAPITAL DELAWARE LLC,315796,170.49,NEW YORK,NY,https://www.apcapitalinvestment.com
"PERIPHAS CAPITAL, LP",291980,170.41,NEW YORK,NY,"https://www.linkedin.com/company/periphas-capital/, https://www.periphascapital.com"
STILLPOINT INVESTMENTS LP,318718,169.85,NEW YORK,NY,"https://www.linkedin.com/company/70952409/admin/, https://www.stillpointinvestments.com"
"TOTEM POINT MANAGEMENT, LLC",169824,169.16,NEW YORK,NY,"https://www.totempoint.com/, http://www.linkedin.com/company/totem-point-management-llc"
ALLY BRIDGE GROUP (NY) LLC,291072,167.92,NEW YORK,NY,"https://www.linkedin.com/company/ally-bridge, http://www.ally-bridge.com/"
"THE LIND PARTNERS, LLC",290338,165.4,NEW YORK,NY,"http://www.thelindpartners.com, https://www.linkedin.com/company/the-lind-partners/"
LIGHTSMITH CLIMATE RESILIENCE MANAGEMENT LLC,307933,165.01,NEW YORK,NY,"https://lightsmithgp.com/, https://www.linkedin.com/company/the-lightsmith-group/, https://twitter.com/lightsmithgroup"
"ALPINE PEAKS CAPITAL, LP",290241,164.25,NEW YORK,NY,"https://www.alpinepeakscapital.com, https://www.linkedin.com/company/alpine-peaks-capital/"
RIPPLE EFFECT ASSET MANAGEMENT LP,331250,164.05,NEW YORK,NY,"https://rippleeffectasset.com/, https://www.linkedin.com/company/ripple-effect-asset-management"
BOARDMAN BAY CAPITAL MANAGEMENT LLC,164577,163.74,NEW YORK,NY,"http://www.boardmanbay.com, https://www.linkedin.com/company/boardman-bay-capital-management/"
"HGI CAPITAL MANAGEMENT, LLC.",168303,163.42,NEW YORK,NY,"https://www.linkedin.com/company/harborgroupinternational, https://www.hgicapitalmanagement.com"
OPEN FIELD CAPITAL LLC,136313,162.82,NEW YORK,NY,"https://x.com/openfieldcap, https://www.linkedin.com/company/open-field-capital-limited, http://www.ofcap.com"
"SUMMATION CAPITAL MANAGEMENT, L.P.",331645,160.56,NEW YORK,NY,"https://www.linkedin.com/company/summation-capital/, https://www.summationcapital.com/"
WHITE HAT CAPITAL PARTNERS LP,288059,158.91,NEW YORK,NY,"http://www.whitehatcp.com, https://www.linkedin.com/company/white-hat-capital-partners/"
PHOENICIAN CAPITAL LLC,286033,158.76,NEW YORK,NY,"http://phoeniciancapital.com/, https://www.linkedin.com/company/phoenician-capital/"
"UNION SQUARE PARK CAPITAL MANAGEMENT, LLC",175471,158.73,NEW YORK,NY,"http://uspcm.com/, https://www.linkedin.com/company/unionsquareparkcapital/"
RAVEN CAPITAL MANAGEMENT LLC,164755,157.95,NEW YORK,NY,"https://www.linkedin.com/company/raven-capital-management/, http://www.ravencm.com"
SADDLEROCK CAPITAL MANAGEMENT LLC,330801,155.89,NEW YORK,NY,https://saddlerockcap.com/
"ELTURA CAPITAL MANAGEMENT, LLC",318320,154.8,NEW YORK,NY,"http://www.eltura.com, http://www.linkedin.com/company/eltura-capital-management"
ALPACA VC INVESTMENT MANAGEMENT LLC,317262,153.72,NEW YORK,NY,"https://www.linkedin.com/company/alpacavc/, https://alpaca.vc/, https://www.instagram.com/alpacavc/, https://campsite.bio/alpacavc, https://medium.com/alpaca-vc, https://www.facebook.com/profile.php?id=100068865744165, https://www.alpacarealestate.com, https://www.linkedin.com/company/alpaca-real-estate/, https://x.com/alpacavc/"
"EM ADVISOR, LLC",314402,153.54,NEW YORK,NY,"https://www.linkedin.com/company/equity-multiple/mycompany/, https://www.facebook.com/equitymultiple, https://www.equitymultiple.com, https://www.instagram.com/equitymultiple_com/?hl=en, https://www.amiaccredited.com, https://www.pinterest.com/equitymultiple, https://medium.com/@equitymultiple, https://vimeo.com/equitymultiple, https://www.youtube.com/c/equitymultiple, https://soundcloud.com/equity-multiple, https://www.tiktok.com/@equitymultiple_com, https://twitter.com/equitymultiple"
TRIDENT MANAGEMENT LLC,319632,150.42,NEW YORK,NY,"https://www.trident.co/, https://www.linkedin.com/company/tridentco/, https://twitter.com/investtrident, https://medium.com/@investtrident"
"MIURA GLOBAL MANAGEMENT, LLC",161017,150.16,NEW YORK,NY,N/A
"VIS ADVISORS, LP",240786,148.85,NEW YORK,NY,http://www.takumifund.com
"CATCHMENT CAPITAL, L.P.",335631,147.71,NEW YORK,NY,"https://www.catchmentcapital.com/, https://www.linkedin.com/company/catchmentcapital/"
"BARINGTON COMPANIES INVESTORS, LLC",161305,146.98,NEW YORK,NY,"https://www.linkedin.com/company/barington-capital-group-l-p, http://www.barington.com"
"ORTELIUS CAPITAL PARTNERS, LLC",138284,143.75,NEW YORK,NY,http://www.orteliusinvestments.com
"LIVIAN & CO., LLC",153771,143.67,NEW YORK,NY,"http://www.livianco.com, https://www.linkedin.com/company/livian-&-co.---investment-and-wealth-management/, https://x.com/livianco, https://www.instagram.com/livian_co/, https://facebook.com/livianandco, https://tiktok.com/@livian_co"
ARAVALLI CAPITAL MANAGEMENT LP,327861,143.41,NEW YORK,NY,https://www.aravallicap.com/
"FOUR LION CAPITAL, LP",333602,143.25,NEW YORK,NY,"https://www.linkedin.com/company/fourlion-capital/, https://fourlioncapital.com/"
"ARGOSY-LIONBRIDGE MANAGEMENT, LLC",325413,142.43,NEW YORK,NY,https://argosylbm.com/
TOTEM MACRO ASSET MANAGEMENT LP,328044,142.06,NEW YORK,NY,N/A
"SECONDMARKET FINANCIAL, LLC",333332,140.62,NEW YORK,NY,"https://www.secondmarket.com, https://www.youtube.com/@nasdaqprivatemarketofficial, https://x.com/npm, https://vimeo.com/nasdaqprivatemarket, https://www.facebook.com/nasdaqprivatemarket, https://www.instagram.com/nasdaqprivatemarketofficial/, https://www.linkedin.com/company/nasdaq-private-market/, https://www.nasdaqprivatemarket.com, https://www.npm.com"
"JLL PARTNERS FCH, INC.",285184,140.08,NEW YORK,NY,"https://www.linkedin.com/company/jll-partners/about/, https://www.jllpartners.com"
"AREX CAPITAL MANAGEMENT, LP",289595,139.08,NEW YORK,NY,https://www.arexcapital.com
"RUSHMONT CAPITAL MANAGEMENT, LP",333041,138.96,NEW YORK,NY,"https://www.linkedin.com/company/rushmont, https://www.rushmont.com/"
13D MANAGEMENT LLC,154009,138.83,NEW YORK,NY,"http://13dmanagement.com, https://www.linkedin.com/company/13d-management/about/, https://www.13dactivistfund.com/"
HIDDENITE CAPITAL PARTNERS LP,309942,137.8,NEW YORK,NY,https://www.hiddenitecap.com/
"EQUILIBRIUM VENTURES, LLC",309164,137.31,NEW YORK,NY,"https://www.linkedin.com/company/joinequi, https://www.equi.com/, https://twitter.com/join_equi, https://www.facebook.com/profile.php?id=100065213164524, https://www.youtube.com/channel/ucfsg6lr84ozvvytifo566ag"
RIDGELINE PRODUCTIONS LLC,315118,137.09,NEW YORK,NY,"https://www.broadwaystrategicreturnfund.com, https://www.linkedin.com/companybroadway-strategic-return-fund/about/"
HARBINGER CAPITAL PARTNERS LLC,160538,134.2,NEW YORK,NY,http://www.harbingercapital.com
LIONTREE PARTNERS LLC,289817,134.06,NEW YORK,NY,https://liontree.com/
CORNWALL CAPITAL MANAGEMENT LP,161451,132.66,NEW YORK,NY,http://www.cornwallcapital.com
"UNLIMITED FUNDS, INC.",322644,132.27,NEW YORK,NY,"https://www.unlimitedetfs.com, https://twitter.com/unlimitedfnds, https://www.unlimitedfunds.com/, https://www.linkedin.com/company/unlimitedfunds/?viewasmember=true"
"MQS MANAGEMENT, LLC",161238,130.04,NEW YORK,NY,"http://www.mqsmanagement.com, https://www.linkedin.com/company/mqs-management-llc/about/"
"HUNT INVESTMENT MANAGEMENT, LLC",151744,129.01,NEW YORK,NY,N/A
NINE LEFT CAPITAL LP,332838,125.79,NEW YORK,NY,"https://www.nineleftcapital.com/, https://www.linkedin.com/company/nineleft/"
SQ CAPITAL LLC,334301,125.74,NEW YORK,NY,http://www.sqcapital.com
CAIS ADVISORS LLC,317466,125.05,NEW YORK,NY,https://www.caisgroup.com/
"PURA VIDA INVESTMENTS, LLC",166703,124.76,NEW YORK,NY,http://www.puravidainvestments.com/
GALILEO INVESTMENT MANAGEMENT LLC,169201,124.58,NEW YORK,NY,http://www.galileoinvestment.com
"P&A CAPITAL ADVISORS, INC.",111731,124.49,NEW YORK,NY,http://www.pacapadvisors.com/
"COAST CAPITAL MANAGEMENT, LP",289883,124.37,NEW YORK,NY,http://www.coastcapitalllc.com
"MARATHON PARTNERS EQUITY MANAGEMENT, LLC",161095,120.07,NEW YORK,NY,"https://x.com/mpemllc, http://www.marathonpartners.com"
SEABURY CAPITAL MANAGEMENT LLC,334999,120.0,NEW YORK,NY,"https://www.seaburycapital.com/, https://www.linkedin.com/company/seabury-capital"
SEAPORT GLOBAL ASSET MANAGEMENT LLC,298944,118.55,NEW YORK,NY,"https://seaportglobal.com/capabilities/asset-management/, http://www.armoryfunds.com/, https://www.linkedin.com/company/armory-advisors-llc"
GREENWOOD INVESTORS LLC,155088,116.49,NEW YORK,NY,"https://www.gwinvestors.com, https://twitter.com/gwinvestors"
"AEREF MANAGEMENT, LLC",322495,115.97,NEW YORK,NY,N/A
"WINGSPAN CAPITAL, LLC",307759,114.92,NEW YORK,NY,"https://www.wingspanfund.com/, https://www.linkedin.com/company/wingspancapital/about/"
BOUSSARD & GAVAUDAN AMERICA LLC,322621,111.33,NEW YORK,NY,N/A
DUMONT GLOBAL LP,305883,111.0,NEW YORK,NY,"http://www.dumontglobal.com, https://www.linkedin.com/company/dumont-global/?viewasmember=true"
"ISLET MANAGEMENT, LP",290576,108.81,NEW YORK,NY,"https://isletcapital.com, https://www.linkedin.com/company/islet-capital-managemet/"
"50T HOLDINGS, LLC",326720,103.15,NEW YORK,NY,https://50tfunds.com/
INVIDIA CAPITAL MANAGEMENT LP,331334,102.4,NEW YORK,NY,"https://invidiacap.com/, https://www.linkedin.com/company/invidia-capital-management/"
2E CAPITAL PARTNERS LP,334821,102.0,NEW YORK,NY,https://www.linkedin.com/company/2e-capital-partners/
BLANTYRE CAPITAL US LLC,336308,101.57,NEW YORK,NY,"https://blantyrecapital.com/, https://www.linkedin.com/company/blantyre-capital-limited/"
SLG CAPITAL MANAGEMENT LLC,331370,100.35,NEW YORK,NY,N/A
"HUNT CAPITAL MANAGEMENT, LLC",308017,99.97,NEW YORK,NY,N/A
"THREE BRIDGES CAPITAL, LP",160021,97.46,NEW YORK,NY,"http://www.threebridgescap.com, https://www.linkedin.com/company/three-bridges-capital"
BLACKSTONE REAL ESTATE ADVISORS V L.P.,138208,94.94,NEW YORK,NY,"https://www.facebook.com/blackstone, https://mp.weixin.qq.com/s/ftddop2f9zdz1qfbgoqaaa, https://www.instagram.com/blackstone, https://soundcloud.com/blackstone-300250613, https://www.linkedin.com/company/blackstonegroup, https://www.blackstone.com, https://www.pandora.com/artist/blackstone/arvlpz9plblrlmg, https://open.spotify.com/artist/52eom8vqxm8lk75zzlf2hj, https://spoti.fi/2lj1thg, https://blackstone.podbean.com/, https://www.youtube.com/user/blackstonegroup, https://x.com/blackstone, https://apple.co/31pe1gg"
"HEIGHTS POINT MANAGEMENT, LP",313849,94.0,NEW YORK,NY,"https://www.linkedin.com/company/heights-point-management-lp/, https://heightspoint.com/"
"PRIVATE EQUITY INVESTORS, INC",160559,93.93,NEW YORK,NY,http://www.peifunds.com/
"SOCIAL INVESTMENT MANAGERS AND ADVISORS, LLC",309110,93.03,NEW YORK,NY,"http://simafunds.com, https://www.linkedin.com/company/10592647/admin/dashboard/, https://www.facebook.com/simafunds, https://x.com/i/flow/login?redirect_after_login=%2fsima_funds"
GSA CAPITAL PARTNERS (NEW YORK) LP,286369,88.88,NEW YORK,NY,"http://www.gsacapital.com, https://www.linkedin.com/company/gsacapital"
UOB GLOBAL CAPITAL LLC,160659,88.62,NEW YORK,NY,http://www.uobglobal.com
"ARETEX CAPITAL MANAGEMENT, LP",296753,88.6,NEW YORK,NY,https://www.aretexcapital.com
GRAVITY CAPITAL MANAGEMENT LLC,137083,88.0,NEW YORK,NY,N/A
ATW SPAC MANAGEMENT LLC,283737,86.73,NEW YORK,NY,N/A
ONEWELTH INC,325277,85.66,NEW YORK,NY,N/A
LEXION CAPITAL MANAGEMENT LP,153273,84.7,NEW YORK,NY,"https://www.lexioncapital.com, https://twitter.com/lexioncapital, https://www.linkedin.company/lexion-capital-management, https://www.facebook.com/lexioncapital"
"PEARL LANE ADVISORS, LLC",172681,83.98,NEW YORK,NY,N/A
S. MUOIO & CO. LLC,155549,82.84,NEW YORK,NY,http://sminvestors.com
ABERNATHY GROUP II LLC,152401,80.2,NEW YORK,NY,"http://www.abernathygroupfamilyoffice.com, http://www.physicanfamilyoffice.org, https://www.abernathydaley401k.com"
"CORDOBA CAPITAL PARTNERS, LLC",329644,78.9,NEW YORK,NY,http://www.cordobacapital.co
"DRYDEN CAPITAL, LLC",172648,76.17,NEW YORK,NY,N/A
"GREENBROOK MANAGEMENT, LLC",313632,76.16,NEW YORK,NY,"https://www.greenbrookre.com, https://www.linkedin.com/company/greenbrookpartners/about/"
